origin,destination,num_flights,total_route_co2,avg_co2_per_flight,avg_price
CTU,SZX,541,163339000,301920.5176,638.8613678
SHA,SZX,590,163107000,276452.5424,743.8777778
PVG,BKK,324,162896000,502765.4321,1556.436533
PVG,CGK,243,162794000,669934.1564,2339.855967
CGO,BKK,342,161153000,471207.6023,1098.292398
SHA,DEL,179,160773000,898173.1844,3501.234637
CAN,FCO,119,160482000,1348588.235,2425.840336
CDG,CAN,54,160436000,2971037.037,11319.51852
SHA,CTU,523,159998000,305923.5182,706.7165669
SZX,MAD,115,159957000,1390930.435,1497.513043
CPH,VCP,148,159262000,1076094.595,1292.777027
PEK,MXP,102,158594000,1554843.137,2707.647059
HGH,KUL,286,158510000,554230.7692,1640.104895
FRA,LGW,495,157908000,319006.0606,772.643299
HGH,AMS,132,157313000,1191765.152,2984.977273
VIE,ALG,467,157288000,336805.1392,1136.03212
SHA,IST,126,156798000,1244428.571,3514.571429
HGH,CDG,136,156160000,1148235.294,2851.455882
CNF,NBO,76,155576000,2047052.632,2081.684211
XIY,MIA,46,155460000,3379565.217,6535.021739
ADD,MAD,210,155341000,739719.0476,1188.085714
SZX,AMS,118,155155000,1314872.881,3235.101695
SHA,HGH,541,155126000,286739.3715,822.038961
XIY,BKK,323,155046000,480018.5759,1055.263158
DUB,ALG,462,154402000,334203.4632,1201.25974
SZX,ZRH,130,154080000,1185230.769,3620.115385
SZX,HGH,576,154027000,267407.9861,534.8107639
CAN,SIN,295,153629000,520776.2712,1742.172881
CNF,SAW,74,152562000,2061648.649,2254.432432
PVG,CPT,101,152401000,1508920.792,4187.881188
PVG,NBO,118,152058000,1288627.119,2269.661017
VCP,VIE,125,151637000,1213096,1927.008
XIY,PEK,478,151293000,316512.5523,661.4884259
CDG,DME,194,150950000,778092.7835,1851.298969
CTU,MNL,304,150711000,495759.8684,1277.802632
PVG,CTU,454,149892000,330158.5903,693.4642032
SHA,ATH,119,149143000,1253302.521,2594.327731
AEP,ALG,52,148928000,2864000,10202.76923
SHA,AMS,124,148793000,1199943.548,3828.943548
SHA,CGO,483,146836000,304008.2816,717.9772257
MUC,CMN,416,146696000,352634.6154,566.0961538
CAN,ARN,112,146690000,1309732.143,3008.357143
YYZ,HGH,66,146315000,2216893.939,4256.621212
PVG,KUL,250,146147000,584588,2167.88
XIY,SHA,528,145461000,275494.3182,688.5864811
YYZ,SZX,94,145419000,1547010.638,4826
HGH,CAN,585,145156000,248129.9145,545.2513761
CAN,HGH,566,145132000,256416.9611,566.0424028
HGH,MUC,146,145093000,993787.6712,2050.321918
CGO,BOG,19,143990000,7578421.053,12916.10526
ADD,DME,166,143808000,866313.253,2646.740964
SZX,VIE,124,143113000,1154137.097,2837.475806
CPH,CMN,366,142965000,390614.7541,447.3879781
SZX,KUL,241,141897000,588784.2324,1787.863071
HGH,FLL,36,141845000,3940138.889,8546.916667
VCP,PTY,101,141730000,1403267.327,4163.49505
XIY,FCO,111,141485000,1274639.64,2599.837838
PEK,OSL,78,141472000,1813743.59,2651.525641
FRA,ALG,440,141247000,321015.9091,1578.385321
XIY,MXP,113,141210000,1249646.018,2709.946903
CTU,MXP,101,141153000,1397554.455,2580.306931
SZX,DUB,113,140826000,1246247.788,3027.168142
PVG,XIY,479,140674000,293682.6722,581.3782609
SHA,CAN,540,140268000,259755.5556,792.3127572
SHA,BLR,178,140264000,788000,3341.769663
HGH,CGK,223,140234000,628852.0179,1580.156951
CGO,SHA,462,139983000,302993.5065,781.6125541
ADD,DXB,282,139888000,496056.7376,607.3333333
SHA,CPT,100,139343000,1393430,3725.36
ALG,CAI,256,139319000,544214.8438,1612.832031
CTU,DEL,166,138908000,836795.1807,2962.319277
MUC,ALG,453,138822000,306450.3311,1239.724062
XIY,PVG,468,138798000,296576.9231,617.7020316
PVG,CGO,456,138306000,303302.6316,612.027972
SHA,XIY,513,138042000,269087.7193,669.505176
SHA,ZRH,116,137902000,1188810.345,3884.637931
SHA,DUB,110,137804000,1252763.636,3366.745455
CGO,FRA,104,137543000,1322528.846,2624.576923
VIE,LGW,457,136897000,299555.7987,766.0437637
HGH,BOG,33,136512000,4136727.273,8129
CGO,SZX,513,136285000,265662.768,521.815735
CDG,CMN,402,136204000,338815.9204,434.6716418
CTU,PTY,39,135975000,3486538.462,6743.948718
XIY,KUL,229,135484000,591633.1878,1586.510917
CAN,CPT,95,135166000,1422800,3383.126316
SZX,DEL,143,135031000,944272.7273,3722.132867
ADD,ALG,157,134262000,855171.9745,2655.828025
XIY,LIM,26,133507000,5134884.615,11469.15385
CGO,MIA,43,132981000,3092581.395,6911.976744
PEK,SIN,235,132333000,563119.1489,1718.246809
PEK,MAN,93,131808000,1417290.323,2552.462366
CTU,CAI,101,131603000,1303000,3028.742574
VCP,CNF,473,131583000,278188.1607,322.7251586
BRU,ALG,382,131386000,343942.4084,1099.602094
SHA,KUL,250,131294000,525176,1860.912
CGO,KUL,233,131191000,563051.5021,1449.446352
PEK,AEP,56,131143000,2341839.286,3679.5
SZX,FCO,96,131123000,1365864.583,2336.854167
BOG,SVO,64,131092000,2048312.5,4350.828125
ADD,SIN,108,131052000,1213444.444,1734.5
HGH,SZX,513,130164000,253730.9942,529.6087866
XIY,SZX,480,129109000,268977.0833,527.6914661
HGH,FCO,130,128392000,987630.7692,2103.107692
PEK,DUB,65,127161000,1956323.077,4094.169231
CGO,PVG,428,126893000,296478.972,619.1094527
SHA,MNL,234,126784000,541811.9658,1865.867521
PEK,DEL,141,126227000,895226.9504,3424.475177
CPH,DME,168,126092000,750547.619,2068.880952
HGH,HND,186,126020000,677526.8817,2583.672131
SZX,NBO,103,125881000,1222145.631,2146.165049
PVG,MNL,230,125781000,546873.913,1895.03913
CNF,PTY,162,125763000,776314.8148,1058.080247
PEK,FCO,77,125028000,1623740.26,2161.25974
HGH,MAN,108,124240000,1150370.37,1843.231481
PEK,ATH,93,123443000,1327344.086,2143.677419
CAN,BKK,256,123234000,481382.8125,1829.921875
PVG,HGH,411,122865000,298941.6058,622.6240786
HGH,MXP,109,122478000,1123651.376,2356.027523
SZX,PTY,23,121075000,5264130.435,9242.478261
PEK,LHR,78,120479000,1544602.564,4695.153846
CTU,ARN,82,119583000,1458329.268,3103.121951
CGO,MAN,89,119121000,1338438.202,1862.775281
CPH,SVO,183,118958000,650043.7158,2164.31694
PVG,CAN,410,117560000,286731.7073,615.4761905
XIY,HND,172,116936000,679860.4651,2631.73125
DUB,CMN,320,116653000,364540.625,364.81875
CDG,PEK,65,116131000,1786630.769,5035.338462
CNF,VCP,434,115967000,267205.0691,301.9792627
